"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Djawad Karoni","990","0","France","FR","6797","2","5","5","0","3","55","1","4","434","1","6","194516"
"2","Matthieu Prudhomme","990","0","France","FR","7122","1","4","4","0","3","39","1","4","360","1","6","129428"
"3","Bekir Karaca","921","0","International Club","TR","4032","7","6","11","0","2","66","1","4","509","0","7","76357"
"4","Efkan Birkiye","921","0","International Club","DE","5536","7","6","11","0","2","183","1","4","979","0","7","76350"
"5","Francois Siegwald","820","0","France","FR","4502","8","3","7","0","1","78","2","4","334","0","6","78217"
"6","Bastien da Silva","754","0","France","FR","3280","6","5","7","9","2","104","2","4","414","0","11","370250"
"7","Michel Aerts","746","0","Benelux","BE","5216","7","2","5","0","0","93","1","4","431","0","6","239213"
"8","Cristian Macrelli3","695","0","Italy","IT","2664","6","4","10","0","0","194","2","4","806","0","14","401983"
"9","Chris McGrath","689","0","Canada","CA","5396","9","2","9","0","1","86","1","4","539","0","10","185844"
"10","Antonin Titus","685","0","France","FR","5384","7","2","5","0","0","58","1","4","351","0","9","215134"
"11","Thibaut WARGNY","685","0","France","FR","4376","8","2","6","0","0","92","1","4","412","0","9","408746"
"12","Dimitry Pinault","684","0","France","FR","3298","2","5","5","40","3","79","3","4","461","0","4","376824"
"13","Arnaud Vantaggi","684","0","France","FR","3882","1","4","4","40","3","56","2","4","325","0","4","434084"
"14","Simon Hertneky","665","0","Central-Eastern Europe","SK","3595","6","4","6","7","0","58","2","4","450","0","14","379264"
"15","Tom K Hallums","664","0","UK and I","GB","3810","5","3","4","1","0","17","2","4","268","0","17","236770"
"16","Guillaume Jobard","662","0","France","FR","4750","9","2","7","0","0","77","1","4","450","0","12","258169"
"17","Maxime Mariotte","662","0","France","FR","4503","10","2","7","0","0","87","1","4","329","0","12","497790"
"18","Arkadiusz Neumann2","661","0","Central-Eastern Europe","PL","5343","6","3","4","0","0","13","1","4","228","0","7","98583"
"19","Maciej Mlynek","661","0","Central-Eastern Europe","PL","6594","6","3","4","0","0","17","1","4","216","0","7","398214"
"20","Jakub Wyderka","661","0","Central-Eastern Europe","PL","5697","6","3","4","0","0","36","1","4","193","0","7","359587"
"21","Joe Zarkos","650","0","UK and I","GB","3330","6","3","5","94","2","36","2","4","221","0","6","358368"
"22","Jeffrey C Langerak","650","0","Benelux","NL","3111","6","3","5","148","2","69","2","4","470","0","6","376461"
"23","Lars Moldenhauer","648","0","DE-AT-CH","DE","4087","8","2","5","0","0","57","1","4","427","0","11","166246"
"24","Patrick Marx","648","0","DE-AT-CH","DE","3888","8","2","5","0","0","71","1","4","459","0","11","36057"
"25","Ludovic Juret","643","0","France","FR","2817","6","3","5","0","1","55","2","4","245","0","10","285275"
"26","Nicolas Bellet","620","0","France","FR","3068","5","5","6","0","0","115","2","4","452","0","6","305737"
"27","Dominik Hofmann","618","0","DE-AT-CH","AT","6784","3","4","5","0","2","44","1","3","418","1","7","334578"
"28","Daniel Alves Lourenco","618","0","DE-AT-CH","DE","5115","3","4","5","0","2","79","2","3","317","1","7","467986"
"29","Thomas Corriger","603","0","France","FR","2733","8","3","9","0","0","95","2","4","517","0","9","335977"
"30","Javier Soto","601","0","Iberia","ES","3577","9","1","7","1","0","103","2","4","557","1","4","79868"
"31","Dan Neice","582","0","Indiana","US","2606","6","3","6","72","1","89","2","4","560","1","12","139923"
"32","Andrea Abbati","582","0","Italy","IT","3017","9","4","8","26","0","55","2","4","364","2","8","394899"
"33","Fabio Milani","582","0","Italy","IT","3343","10","4","9","13","0","99","2","4","491","3","7","80744"
"34","Uwe Seiler","578","0","DE-AT-CH","DE","2875","7","4","6","0","0","43","2","4","324","0","5","173571"
"35","Luca Storms","578","0","DE-AT-CH","DE","3485","7","4","6","39","0","55","2","4","498","0","5","227964"
"36","Christoph Holstein","573","0","DE-AT-CH","CH","5119","8","2","5","0","0","38","1","4","176","2","4","255080"
"37","Cyril Blondiau","570","0","Benelux","BE","2817","11","2","8","0","0","127","2","4","455","0","11","295287"
"38","Deletraz Alexandre","562","0","France","FR","3350","10","2","8","0","1","141","2","4","565","0","9","309591"
"39","Argenis Riera2","555","0","International Club","VE","4223","10","2","7","0","0","53","2","4","466","0","12","208193"
"40","Riley Hawkins","549","0","Florida","US","2306","8","3","6","165","2","77","3","4","409","0","6","317035"
"41","Alessandro Barbagallo","549","0","Italy","IT","3386","8","3","6","119","2","92","2","4","530","0","6","486135"
"42","marcel van den Berg2","549","0","Benelux","NL","4003","8","2","7","0","0","94","2","4","566","0","11","370606"
"43","Elias Hrebik","547","0","DE-AT-CH","AT","3318","9","2","6","0","0","56","2","4","336","1","7","381536"
"44","René Aures","547","0","DE-AT-CH","DE","3620","9","2","6","0","0","74","2","4","501","1","7","370028"
"45","Valentin Barraud","546","0","France","FR","3365","6","4","7","45","1","64","2","4","666","1","8","336159"
"46","Ruslan Bairamkulov","543","0","Central-Eastern Europe","US","4394","9","3","4","0","0","65","1","3","334","0","9","187404"
"47","Mark Zuidhof","539","0","Benelux","NL","3533","6","1","5","0","0","39","2","4","350","0","11","297495"
"48","Joakim Kjøde","538","0","Scandinavia","NO","2519","9","3","7","35","0","86","3","4","550","0","8","245577"
"49","Sveinung Mathisen","538","0","Scandinavia","NO","2085","9","3","7","9","0","125","3","4","457","0","8","433879"
"50","Bruno Correia","533","0","Iberia","GI","4095","4","2","3","0","2","57","2","3","389","0","7","380094"
"51","Valter Mendes","532","0","Iberia","PT","2379","8","2","6","0","0","111","3","4","551","0","13","265255"
"52","Michael M Meier","530","0","France","FR","4453","9","2","9","22","0","135","1","4","662","0","8","293434"
"53","Thomas Imbourg","529","0","France","FR","5253","7","2","5","0","2","75","1","4","401","2","6","414547"
"54","Luká? P?áda","528","0","Central-Eastern Europe","CZ","5822","6","2","3","0","0","38","1","3","275","0","7","279166"
"55","Yoann Sarzynski","526","0","France","FR","4411","9","1","5","0","1","107","1","3","457","0","11","31327"
"56","Roberto Villegas","525","0","West","US","2373","10","4","8","4","0","81","3","4","514","0","13","323837"
"57","Tyler Botma","525","0","West","US","3132","11","4","9","34","0","101","2","4","481","0","14","323199"
"58","Pavel Mory Moravec","524","0","Central-Eastern Europe","CZ","2549","8","2","6","0","0","41","2","4","301","0","8","345027"
"59","Andrea Ramacciotti","523","0","Italy","IT","3287","8","2","7","0","0","84","2","4","510","0","12","71368"
"60","Patrick McDaniel","520","0","Carolina","US","2112","7","2","4","0","0","26","3","4","243","0","16","31255"
"61","Stephane Henriques","518","0","France","FR","1151","8","3","7","43","1","86","2","4","484","0","18","324933"
"62","David NARBONNE","518","0","France","FR","1291","8","3","7","53","1","183","2","4","773","0","18","311045"
"63","Christian Steenburgh","511","0","Atlantic","US","3664","7","3","4","78","1","39","2","4","256","3","1","346040"
"64","Calum Wright","511","0","UK and I","GB","3769","7","3","5","0","0","59","2","4","344","0","17","310516"
